item,itemLabel
http://www.wikidata.org/entity/Q9830,Drimmelen
http://www.wikidata.org/entity/Q328087,Dronten
http://www.wikidata.org/entity/Q932142,Druten
http://www.wikidata.org/entity/Q613989,Duiven
http://www.wikidata.org/entity/Q9802,Echt-Susteren
http://www.wikidata.org/entity/Q9917,Edam-Volendam
http://www.wikidata.org/entity/Q26555,Ede
http://www.wikidata.org/entity/Q10037,Eemnes
http://www.wikidata.org/entity/Q9831,Eersel
http://www.wikidata.org/entity/Q28916442,Eijsden
http://www.wikidata.org/entity/Q9766,Eijsden-Margraten
http://www.wikidata.org/entity/Q9832,Eindhoven
http://www.wikidata.org/entity/Q165662,Elburg
http://www.wikidata.org/entity/Q14641,Emmen
http://www.wikidata.org/entity/Q9918,Enkhuizen
http://www.wikidata.org/entity/Q10002,Enschede
http://www.wikidata.org/entity/Q238396,Epe
http://www.wikidata.org/entity/Q753920,Ermelo
http://www.wikidata.org/entity/Q9834,Geertruidenberg
http://www.wikidata.org/entity/Q9835,Geldrop-Mierlo
http://www.wikidata.org/entity/Q9836,Gemert-Bakel
http://www.wikidata.org/entity/Q9800,Gennep
http://www.wikidata.org/entity/Q9837,Gilze en Rijen
http://www.wikidata.org/entity/Q933459,Goeree-Overflakkee
http://www.wikidata.org/entity/Q10072,Goes
http://www.wikidata.org/entity/Q9838,Goirle
http://www.wikidata.org/entity/Q18335889,Gooise Meren
http://www.wikidata.org/entity/Q244327,Gorinchem
http://www.wikidata.org/entity/Q84125,Gouda
http://www.wikidata.org/entity/Q9839,Grave
http://www.wikidata.org/entity/Q892526,Groningen
http://www.wikidata.org/entity/Q9767,Gulpen-Wittem
http://www.wikidata.org/entity/Q10003,Haaksbergen
http://www.wikidata.org/entity/Q9840,Haaren
http://www.wikidata.org/entity/Q9920,Haarlem
http://www.wikidata.org/entity/Q9924,Haarlemmermeer
http://www.wikidata.org/entity/Q9841,Halderberge
http://www.wikidata.org/entity/Q3916626,Hardenberg
http://www.wikidata.org/entity/Q58931,Harderwijk
http://www.wikidata.org/entity/Q953012,Hardinxveld-Giessendam
http://www.wikidata.org/entity/Q2536628,Harlingen
http://www.wikidata.org/entity/Q58797,Hattem
http://www.wikidata.org/entity/Q13723051,Heel
http://www.wikidata.org/entity/Q9926,Heemskerk
http://www.wikidata.org/entity/Q9928,Heemstede
http://www.wikidata.org/entity/Q615491,Heerde
http://www.wikidata.org/entity/Q574558,Heerenveen
http://www.wikidata.org/entity/Q9930,Heerhugowaard
http://www.wikidata.org/entity/Q9799,Heerlen
http://www.wikidata.org/entity/Q9843,Heeze-Leende
http://www.wikidata.org/entity/Q9932,Heiloo
http://www.wikidata.org/entity/Q1025690,Helden
http://www.wikidata.org/entity/Q10005,Hellendoorn
http://www.wikidata.org/entity/Q826130,Hellevoetsluis
http://www.wikidata.org/entity/Q9844,Helmond
http://www.wikidata.org/entity/Q538725,Hendrik-Ido-Ambacht
http://www.wikidata.org/entity/Q10006,Hengelo
http://www.wikidata.org/entity/Q27959423,Het Hogeland
http://www.wikidata.org/entity/Q932155,Heumen
http://www.wikidata.org/entity/Q9845,Heusden
http://www.wikidata.org/entity/Q932116,Hillegom
http://www.wikidata.org/entity/Q9846,Hilvarenbeek
http://www.wikidata.org/entity/Q9934,Hilversum
http://www.wikidata.org/entity/Q56682979,Hoeksche Waard
http://www.wikidata.org/entity/Q9996,Hof van Twente
http://www.wikidata.org/entity/Q9936,Hollands Kroon
http://www.wikidata.org/entity/Q208012,Hoogeveen
http://www.wikidata.org/entity/Q9938,Hoorn
http://www.wikidata.org/entity/Q9797,Horst aan de Maas
http://www.wikidata.org/entity/Q10044,Houten
http://www.wikidata.org/entity/Q9939,Huizen
http://www.wikidata.org/entity/Q10073,Hulst
http://www.wikidata.org/entity/Q10045,IJsselstein
http://www.wikidata.org/entity/Q1348471,Kaag en Braassem
http://www.wikidata.org/entity/Q23814173,Kampen
http://www.wikidata.org/entity/Q10074,Kapelle
http://www.wikidata.org/entity/Q208764,Katwijk
http://www.wikidata.org/entity/Q9796,Kerkrade
http://www.wikidata.org/entity/Q9940,Koggenland
http://www.wikidata.org/entity/Q739449,Krimpen aan den IJssel
http://www.wikidata.org/entity/Q15991891,Krimpenerwaard
http://www.wikidata.org/entity/Q9848,Laarbeek
http://www.wikidata.org/entity/Q9849,Landerd
http://www.wikidata.org/entity/Q9795,Landgraaf
http://www.wikidata.org/entity/Q9942,Landsmeer
http://www.wikidata.org/entity/Q9944,Langedijk
http://www.wikidata.org/entity/Q1144739,Lansingerland
http://www.wikidata.org/entity/Q9945,Laren
http://www.wikidata.org/entity/Q2311189,Leeuwarden
http://www.wikidata.org/entity/Q43631,Leiden
http://www.wikidata.org/entity/Q1000817,Leiderdorp
http://www.wikidata.org/entity/Q112675,Leidschendam-Voorburg
http://www.wikidata.org/entity/Q166065,Lelystad
http://www.wikidata.org/entity/Q9793,Leudal
http://www.wikidata.org/entity/Q10046,Leusden
http://www.wikidata.org/entity/Q952939,Lingewaard
http://www.wikidata.org/entity/Q332730,Lisse
http://www.wikidata.org/entity/Q2360587,Lith
http://www.wikidata.org/entity/Q932058,Lochem
http://www.wikidata.org/entity/Q9850,Loon op Zand
http://www.wikidata.org/entity/Q10047,Lopik
http://www.wikidata.org/entity/Q849574,Loppersum
http://www.wikidata.org/entity/Q10015,Losser
http://www.wikidata.org/entity/Q1616311,Maarn
http://www.wikidata.org/entity/Q927936,Maasbree
http://www.wikidata.org/entity/Q904544,Maasdriel
http://www.wikidata.org/entity/Q9792,Maasgouw
http://www.wikidata.org/entity/Q497130,Maassluis
http://www.wikidata.org/entity/Q1309,Maastricht
http://www.wikidata.org/entity/Q9947,Medemblik
http://www.wikidata.org/entity/Q9772,Meerssen
http://www.wikidata.org/entity/Q18655255,Meierijstad
http://www.wikidata.org/entity/Q60425,Meppel
http://www.wikidata.org/entity/Q10076,Middelburg
http://www.wikidata.org/entity/Q952206,Midden-Delfland
http://www.wikidata.org/entity/Q835125,Midden-Drenthe
http://www.wikidata.org/entity/Q23991032,Midden-Groningen
http://www.wikidata.org/entity/Q9853,Mill en Sint Hubert
http://www.wikidata.org/entity/Q9854,Moerdijk
http://www.wikidata.org/entity/Q42115473,Molenlanden
http://www.wikidata.org/entity/Q952963,Montferland
http://www.wikidata.org/entity/Q10048,Montfoort
http://www.wikidata.org/entity/Q9791,Mook en Middelaar
http://www.wikidata.org/entity/Q1019303,Moordrecht
http://www.wikidata.org/entity/Q952997,Neder-Betuwe
http://www.wikidata.org/entity/Q9789,Nederweert
http://www.wikidata.org/entity/Q10050,Nieuwegein
http://www.wikidata.org/entity/Q588544,Nieuwerkerk aan den IJssel
http://www.wikidata.org/entity/Q948866,Nieuwkoop
http://www.wikidata.org/entity/Q73226,Nijkerk
http://www.wikidata.org/entity/Q47887,Nijmegen
http://www.wikidata.org/entity/Q14853527,Nissewaard
http://www.wikidata.org/entity/Q29509979,Noardeast-Fryslân
http://www.wikidata.org/entity/Q10077,Noord-Beveland
http://www.wikidata.org/entity/Q835083,Noordenveld
http://www.wikidata.org/entity/Q69262,Noordoostpolder
http://www.wikidata.org/entity/Q455464,Noordwijk
http://www.wikidata.org/entity/Q9855,"Nuenen, Gerwen en Nederwetten"
http://www.wikidata.org/entity/Q931997,Nunspeet
http://www.wikidata.org/entity/Q12013228,Obdam
http://www.wikidata.org/entity/Q94747,Oegstgeest
http://www.wikidata.org/entity/Q9856,Oirschot
http://www.wikidata.org/entity/Q9857,Oisterwijk
http://www.wikidata.org/entity/Q1347872,Oldambt
http://www.wikidata.org/entity/Q932042,Oldebroek
http://www.wikidata.org/entity/Q10016,Oldenzaal
http://www.wikidata.org/entity/Q10017,Olst-Wijhe
http://www.wikidata.org/entity/Q10018,Ommen
http://www.wikidata.org/entity/Q1147580,Oost Gelre
http://www.wikidata.org/entity/Q9858,Oosterhout
http://www.wikidata.org/entity/Q259205,Ooststellingwerf
http://www.wikidata.org/entity/Q9951,Oostzaan
http://www.wikidata.org/entity/Q9952,Opmeer
http://www.wikidata.org/entity/Q840632,Opsterland
http://www.wikidata.org/entity/Q9859,Oss
http://www.wikidata.org/entity/Q932031,Oude IJsselstreek
http://www.wikidata.org/entity/Q9953,Ouder-Amstel
http://www.wikidata.org/entity/Q10051,Oudewater
http://www.wikidata.org/entity/Q600871,Overbetuwe
http://www.wikidata.org/entity/Q934511,Papendrecht
http://www.wikidata.org/entity/Q9785,Peel en Maas
http://www.wikidata.org/entity/Q932077,Pekela
http://www.wikidata.org/entity/Q281768,Pijnacker-Nootdorp
http://www.wikidata.org/entity/Q9954,Purmerend
http://www.wikidata.org/entity/Q939948,Putten
http://www.wikidata.org/entity/Q10019,Raalte
http://www.wikidata.org/entity/Q10078,Reimerswaal
http://www.wikidata.org/entity/Q691725,Renkum
http://www.wikidata.org/entity/Q10039,Renswoude
http://www.wikidata.org/entity/Q9860,Reusel-De Mierden
http://www.wikidata.org/entity/Q843899,Rheden
http://www.wikidata.org/entity/Q10040,Rhenen
http://www.wikidata.org/entity/Q222220,Ridderkerk
http://www.wikidata.org/entity/Q10020,Rijssen-Holten
http://www.wikidata.org/entity/Q506745,Rijswijk
http://www.wikidata.org/entity/Q9784,Roerdalen
http://www.wikidata.org/entity/Q8167972,Roermond
http://www.wikidata.org/entity/Q9861,Roosendaal
http://www.wikidata.org/entity/Q2680952,Rotterdam
http://www.wikidata.org/entity/Q372592,Rozendaal
http://www.wikidata.org/entity/Q9862,Rucphen
http://www.wikidata.org/entity/Q9955,Schagen
http://www.wikidata.org/entity/Q939964,Scherpenzeel
http://www.wikidata.org/entity/Q204709,Schiedam
http://www.wikidata.org/entity/Q208011,Schiermonnikoog
http://www.wikidata.org/entity/Q10079,Schouwen-Duiveland
http://www.wikidata.org/entity/Q1019525,Sevenum
http://www.wikidata.org/entity/Q9769,Simpelveld
http://www.wikidata.org/entity/Q9865,Sint Anthonis
http://www.wikidata.org/entity/Q9866,Sint-Michielsgestel
http://www.wikidata.org/entity/Q9781,Sittard-Geleen
http://www.wikidata.org/entity/Q750760,Sliedrecht
http://www.wikidata.org/entity/Q10080,Sluis
http://www.wikidata.org/entity/Q507065,Smallingerland
http://www.wikidata.org/entity/Q10041,Soest
http://www.wikidata.org/entity/Q9868,Someren
http://www.wikidata.org/entity/Q9869,Son en Breugel
http://www.wikidata.org/entity/Q73074,Stadskanaal
http://www.wikidata.org/entity/Q10021,Staphorst
http://www.wikidata.org/entity/Q9962,Stede Broec
http://www.wikidata.org/entity/Q9870,Steenbergen
http://www.wikidata.org/entity/Q10022,Steenwijkerland
http://www.wikidata.org/entity/Q9780,Stein
http://www.wikidata.org/entity/Q10042,Stichtse Vecht
http://www.wikidata.org/entity/Q1556536,Swalmen
http://www.wikidata.org/entity/Q1473276,Súdwest-Fryslân
http://www.wikidata.org/entity/Q1616258,Ter Aar
http://www.wikidata.org/entity/Q10081,Terneuzen
http://www.wikidata.org/entity/Q204412,Terschelling
http://www.wikidata.org/entity/Q9966,Texel
http://www.wikidata.org/entity/Q1368003,Teylingen
http://www.wikidata.org/entity/Q10082,Tholen
http://www.wikidata.org/entity/Q73221,Tiel
http://www.wikidata.org/entity/Q26430,Tilburg
http://www.wikidata.org/entity/Q10023,Tubbergen
http://www.wikidata.org/entity/Q10024,Twenterand
http://www.wikidata.org/entity/Q840457,Tynaarlo
http://www.wikidata.org/entity/Q9872,Uden
http://www.wikidata.org/entity/Q9967,Uitgeest
http://www.wikidata.org/entity/Q9969,Uithoorn
http://www.wikidata.org/entity/Q273746,Urk
http://www.wikidata.org/entity/Q803,Utrecht
http://www.wikidata.org/entity/Q10043,Utrechtse Heuvelrug
http://www.wikidata.org/entity/Q9768,Vaals
http://www.wikidata.org/entity/Q9771,Valkenburg aan de Geul
http://www.wikidata.org/entity/Q9873,Valkenswaard
http://www.wikidata.org/entity/Q73065,Veendam
http://www.wikidata.org/entity/Q1840,Veenendaal
http://www.wikidata.org/entity/Q10083,Veere
http://www.wikidata.org/entity/Q9875,Veldhoven
http://www.wikidata.org/entity/Q9970,Velsen
http://www.wikidata.org/entity/Q9777,Venlo
http://www.wikidata.org/entity/Q9775,Venray
http://www.wikidata.org/entity/Q29032345,Vijfheerenlanden
http://www.wikidata.org/entity/Q210007,Vlaardingen
http://www.wikidata.org/entity/Q207851,Vlieland
http://www.wikidata.org/entity/Q10084,Vlissingen
http://www.wikidata.org/entity/Q1000865,Vlist
http://www.wikidata.org/entity/Q9770,Voerendaal
http://www.wikidata.org/entity/Q848324,Voorschoten
http://www.wikidata.org/entity/Q384772,Voorst
http://www.wikidata.org/entity/Q9876,Vught
http://www.wikidata.org/entity/Q27526271,Waadhoeke
http://www.wikidata.org/entity/Q9877,Waalre
http://www.wikidata.org/entity/Q745038,Waalwijk
http://www.wikidata.org/entity/Q826048,Waddinxveen
http://www.wikidata.org/entity/Q1305,Wageningen
http://www.wikidata.org/entity/Q505601,Wassenaar
http://www.wikidata.org/entity/Q9971,Waterland
http://www.wikidata.org/entity/Q9774,Weert
http://www.wikidata.org/entity/Q9974,Weesp
http://www.wikidata.org/entity/Q846188,Wervershoof
http://www.wikidata.org/entity/Q30142059,West Betuwe
http://www.wikidata.org/entity/Q658081,West Maas en Waal
http://www.wikidata.org/entity/Q967923,Wester-Koggenland
http://www.wikidata.org/entity/Q30011757,Westerkwartier
http://www.wikidata.org/entity/Q747920,Westerveld
http://www.wikidata.org/entity/Q524808,Westervoort
http://www.wikidata.org/entity/Q27768267,Westerwolde
http://www.wikidata.org/entity/Q26556,Westland
http://www.wikidata.org/entity/Q753913,Weststellingwerf
http://www.wikidata.org/entity/Q935657,Westvoorne
http://www.wikidata.org/entity/Q10025,Wierden
http://www.wikidata.org/entity/Q669547,Wieringen
http://www.wikidata.org/entity/Q72981,Wijchen
http://www.wikidata.org/entity/Q9975,Wijdemeren
http://www.wikidata.org/entity/Q10053,Wijk bij Duurstede
http://www.wikidata.org/entity/Q72974,Winterswijk
http://www.wikidata.org/entity/Q9881,Woensdrecht
http://www.wikidata.org/entity/Q5128,Woerden
http://www.wikidata.org/entity/Q14520185,Wognum
http://www.wikidata.org/entity/Q9976,Wormerland
http://www.wikidata.org/entity/Q10055,Woudenberg
http://www.wikidata.org/entity/Q9978,Zaanstad
http://www.wikidata.org/entity/Q1532373,Zaltbommel
http://www.wikidata.org/entity/Q9980,Zandvoort
http://www.wikidata.org/entity/Q184454,Zeewolde
http://www.wikidata.org/entity/Q10056,Zeist
http://www.wikidata.org/entity/Q197050,Zevenaar
http://www.wikidata.org/entity/Q26432,Zoetermeer
http://www.wikidata.org/entity/Q218259,Zoeterwoude
http://www.wikidata.org/entity/Q228673,Zuidplas
http://www.wikidata.org/entity/Q9883,Zundert
http://www.wikidata.org/entity/Q15858232,Zutphen
http://www.wikidata.org/entity/Q10026,Zwartewaterland
http://www.wikidata.org/entity/Q244692,Zwijndrecht
http://www.wikidata.org/entity/Q793,Zwolle
